Zaloznik,zanr1,zanr2,esbr
Nintendo,Action Adventure,Fantasy,E
Nintendo,Action Adventure,Fantasy,E
Neversoft,Alternative,Skateboarding,T
Rockstar,Modern,Open-World,M
Namco,Fighting,3D,T
Rockstar,Modern,Open-World,M
Nintendo,3D,3D,E
Nintendo,3D,3D,E
Rockstar,Action Adventure,Open-World,M
Rockstar,Modern,Open-World,M
Rockstar,Modern,Open-World,M
Rockstar,Modern,Open-World,M
Treyarch,Alternative,Skateboarding,T
Neversoft,Alternative,Skateboarding,T
Neversoft,Alternative,Skateboarding,T
Rare,First-Person,Sci-Fi,M
Rockstar,Action Adventure,Open-World,M
Rockstar,Modern,Open-World,M
Retro,First-Person,Sci-Fi,T
DMA,Action Adventure,Modern,M
Nintendo,Platformer,3D,
Bungie,First-Person,Sci-Fi,M
Visual,Football,Sim,E
Valve,Sci-Fi,Arcade,M
Rockstar,Action Adventure,Open-World,M
Nintendo,Action Adventure,Open-World,
Irrational,Sci-Fi,Arcade,M
Rare,First-Person,Modern,T
Capcom,Action Adventure,Horror,M
Capcom,Action Adventure,Horror,M
Valve,First-Person,Sci-Fi,M
Valve,First-Person,Sci-Fi,M
Rocksteady,Fantasy,Open-World,T
Namco,Fighting,3D,T
BioWare,Action RPG,Action RPG,M
Nintendo,Action Adventure,Fantasy,T
Bethesda,First-Person,Western-Style,M
Valve,Sci-Fi,Arcade,M
Capcom,Action Adventure,Horror,M
Nintendo,Action Adventure,Fantasy,E
Polyphony,Driving,Racing,E
Irrational,Sci-Fi,Arcade,M
KCEJ,Action Adventure,Modern,M
Rockstar,Miscellaneous,Compilation,M
BioWare,Role-Playing,Western-Style,T
Rockstar,Action Adventure,Modern,M
Rockstar,Action Adventure,Modern,M
SCE,2D,3D,E
Nintendo,Action Adventure,Fantasy,E
Rockstar,Historic,Open-World,M
Polyphony,Driving,Racing,E
Bungie,First-Person,Sci-Fi,M
Capcom,Action Adventure,Fantasy,E
Nintendo,Action Adventure,Fantasy,E
Naughty,General,Modern,M
Nintendo,Fantasy,Open-World,T
EA,Football,Sim,E
Vicarious,Alternative,Skateboarding,E
Naughty,General,Modern,M
Valve,Sci-Fi,Arcade,
Rockstar,Third-Person,Historic,M
Valve,Sci-Fi,Arcade,
Kojima,Action Adventure,Open-World,M
Valve,Sci-Fi,Arcade,
2D,Puzzle,General,E
Irrational,Sci-Fi,Arcade,M
SquareSoft,,,T
Infinity,Modern,Arcade,M
SCE,Action Adventure,Linear,M
Neversoft,Alternative,Skateboarding,T
Capcom,Action Adventure,Fantasy,M
Infinity,Modern,Arcade,M
EA,Football,Sim,E
Rocksteady,Fantasy,Open-World,T
Bethesda,First-Person,Western-Style,M
BioWare,Action RPG,Action RPG,M
GREZZO,Compilation,Open-World,
SquareSoft,,,T
Matt,Platformer,2D,
Digital,Sci-Fi,Arcade,M
BioWare,Action RPG,Action RPG,M
Rockstar,Modern,Open-World,M
EA,Football,Sim,E
Epic,Sci-Fi,Arcade,M
Bethesda,First-Person,Western-Style,M
MPS,Historic,4X,
id,Sci-Fi,Arcade,M
Infinity,Modern,Arcade,M
Irrational,Sci-Fi,Arcade,M
Bungie,Sci-Fi,Arcade,M
Team,Action Adventure,Fantasy,M
Bethesda,First-Person,Western-Style,M
Capcom,2D,3D,T
Nintendo,Platformer,2D,E
Smilebit,Platformer,3D,T
KCEJ,Action Adventure,Modern,M
LucasArts,Third-Person,Fantasy,T
Ubisoft,Action Adventure,Modern,M
Criterion,Racing,Arcade,T
Blizzard,Action RPG,Action RPG,M
Aspect,Action Adventure,Modern,M
Infinity,Modern,Arcade,M
Kojima,General,Modern,M
EA,Football,Sim,E
SCE,Action Adventure,Fantasy,M
BioWare,Role-Playing,Third-Person,T
Firaxis,Historic,4X,
EA,Football,Sim,E
Sega,Fighting,3D,T
Nintendo,Platformer,3D,E
CD,Role-Playing,Action RPG,M
Criterion,Racing,Arcade,T
Game,2D,3D,T
Relic,General,Historic,M
Polyphony,Driving,Racing,T
Ubisoft,Action Adventure,Modern,T
Rockstar,Modern,Open-World,M
Namco,General,Arcade,E
Capcom,Fighting,2D,T
Larian,Role-Playing,Western-Style,M
Neversoft,Alternative,Skateboarding,T
Larian,Role-Playing,Western-Style,
Epic,Sci-Fi,Arcade,M
Irrational,Sci-Fi,Arcade,M
Number,2D,2D,
SCE,Action Adventure,Fantasy,M
Nintendo,Platformer,3D,E
Blizzard,Sci-Fi,Command,T
EA,Alternative,Snowboarding,E
Capcom,2D,3D,T
Mojang,Fantasy,Fantasy,
tobyfox,Role-Playing,Japanese-Style,
Atlus,Role-Playing,Japanese-Style,M
Atlus,Role-Playing,Japanese-Style,M
EA,Alternative,Snowboarding,E
Ubisoft,Action Adventure,Modern,T
DMA,Modern,Open-World,M
Raster,First-Person,Sci-Fi,M
Relic,General,Command,E
Clover,Action Adventure,Fantasy,T
4J,First-Person,Western-Style,M
Bethesda,First-Person,Western-Style,M
Epic,Sci-Fi,Arcade,M
Namco,Fighting,3D,T
KCET,Soccer,Sim,E
Visual,Football,Sim,E
BioWare,Action RPG,Action RPG,M
Kojima,Modern,Open-World,M
Overworks,,,T
Nintendo,Fantasy,Open-World,
Intelligent,Racing,Kart,E
Harmonix,Music,Music,T
Clover,,,T
Melbourne,Driving,Racing,E
Visual,Basketball,Sim,E
Konami,Platformer,2D,T
BioWare,Third-Person,General,T
Sega,Fighting,3D,T
Capcom,Action Adventure,Survival,M
Naughty,Action Adventure,Linear,T
Nintendo,Fighting,2D,
Hothead,2D,2D,
BioWare,Action RPG,Action RPG,M
Intelligent,,,E
Psygnosis,Racing,Futuristic,
Rockstar,Action Adventure,Modern,AO
PLAYDEAD,Platformer,2D,M
Blizzard,Fantasy,Fantasy,T
Rockstar,Modern,Open-World,M
Nintendo,General,Application,
KCET,Soccer,Sim,E
