Metascore,ocena_uporabnikov
99,9.1
98,7.5
98,7.5
98,8.6
98,7.9
97,9.0
97,9.1
97,7.6
97,7.8
97,8.3
97,8.3
97,6.1
97,8.5
97,7.5
97,8.9
97,8.1
97,8.3
97,9.2
97,8.4
97,8.9
97,8.5
97,6.3
96,9.1
96,7.7
96,8.2
96,8.9
96,9.0
96,8.9
96,9.2
96,8.8
96,9.2
96,8.7
96,9.1
96,8.9
96,8.9
96,8.5
96,9.0
96,9.0
96,9.0
96,8.6
96,8.5
96,8.8
96,8.0
95,9.2
95,9.0
95,8.8
95,6.8
95,9.0
95,8.9
95,8.4
95,8.3
95,8.9
95,9.1
95,9.2
95,9.0
95,7.4
95,6.6
95,9.1
95,9.0
95,9.0
95,8.7
95,7.4
95,8.5
94,8.7
94,8.5
94,9.1
94,6.5
94,9.1
94,8.4
94,8.7
94,8.4
94,7.3
94,8.7
94,8.2
94,8.8
94,9.0
94,8.8
94,6.8
94,8.8
94,8.6
94,8.8
94,8.2
94,8.3
94,8.7
94,8.9
94,8.8
94,8.5
94,8.6
94,7.9
94,8.7
94,8.1
94,7.4
94,9.0
94,8.1
94,9.2
94,9.1
94,8.9
94,7.5
94,8.7
94,9.0
94,6.5
94,8.8
94,8.2
94,8.9
94,9.0
94,8.3
94,7.0
94,8.2
94,9.2
93,9.4
93,9.0
93,8.8
93,8.8
93,9.0
93,8.5
93,8.3
93,7.6
93,8.6
93,8.6
93,7.5
93,8.8
93,8.8
93,8.5
93,8.5
93,8.9
93,8.9
93,8.3
93,8.4
93,7.3
93,7.6
93,7.8
93,8.5
93,8.7
93,8.9
93,8.6
93,8.3
93,8.1
93,8.8
93,9.1
93,8.2
93,8.5
93,7.8
93,8.8
93,8.3
93,7.6
93,5.9
93,8.2
93,8.9
93,8.1
93,8.0
93,8.0
93,8.4
93,8.0
93,7.1
93,9.2
93,9.0
93,8.9
93,8.4
93,8.4
93,8.7
93,7.8
93,5.7
93,9.0
93,8.4
93,8.7
93,8.3
93,7.4
93,8.9
93,7.5
93,8.4
93,7.3
92,8.8
92,6.5
92,7.7
92,8.5
92,7.8
92,8.8
92,7.8
92,7.0
92,8.8
92,8.5
92,8.1
92,8.8
92,8.4
92,8.0
92,8.4
92,8.9
92,8.9
92,8.8
92,9.1
92,8.8
92,7.9
92,9.1
92,7.4
92,8.4
92,7.2
92,7.6
92,7.6
92,7.8
92,6.9
92,9.0
92,9.0
92,7.4
92,9.1
92,9.1
92,8.7
92,7.5
92,6.6
92,7.4
92,9.2
92,8.9
92,8.3
92,9.1
92,7.6
92,9.1
92,8.1
92,7.9
92,8.3
92,8.8
92,8.6
92,8.8
92,8.9
92,8.9
92,9.0
92,9.1
92,9.0
92,9.0
92,7.9
92,8.6
92,9.0
92,8.9
92,8.2
92,7.8
92,8.4
92,8.9
92,8.4
92,9.2
92,8.1
92,9.1
92,8.5
92,8.8
92,9.2
92,9.0
92,8.7
92,7.5
92,8.1
92,8.6
92,8.7
92,8.5
92,8.9
92,3.3
92,9.0
92,9.2
92,9.1
92,8.8
92,5.0
91,7.4
91,7.7
91,7.8
91,7.9
91,7.9
91,8.4
91,8.5
91,8.6
91,8.6
91,8.6
91,8.3
91,8.6
91,7.7
91,6.9
91,9.0
91,6.6
91,7.6
91,8.4
91,7.7
91,8.9
91,8.9
91,9.2
91,8.1
91,9.0
91,8.6
91,8.8
91,8.8
91,8.1
91,7.8
91,9.1
91,9.2
91,7.5
91,8.0
91,8.6
91,9.1
91,8.5
91,8.9
91,8.4
91,5.9
91,8.9
91,9.1
91,8.0
91,7.4
91,8.9
91,8.2
91,8.8
91,8.9
91,8.5
91,8.2
91,6.7
91,8.4
91,8.0
91,8.8
91,8.6
91,8.4
91,8.0
91,8.0
91,8.1
91,7.9
91,9.0
91,9.0
91,3.9
91,7.8
91,6.6
91,8.8
91,8.5
91,8.6
91,8.7
91,8.2
91,7.9
91,8.7
91,8.8
91,8.2
91,9.0
91,8.4
91,8.7
91,6.8
91,8.0
91,8.3
91,7.9
91,7.8
91,8.7
91,6.7
91,9.2
91,8.0
91,8.1
91,8.2
91,8.8
91,8.8
91,8.7
91,8.3
91,8.9
91,8.7
91,9.0
91,8.7
91,8.0
91,8.4
91,8.6
91,9.0
91,8.5
91,8.8
91,7.2
91,8.5
91,8.6
91,8.1
91,8.1
91,7.3
91,8.7
91,8.5
91,7.1
91,8.0
91,9.0
90,8.8
90,8.7
90,6.7
90,8.8
90,5.6
90,8.4
90,7.3
90,8.9
90,8.1
90,7.9
90,6.4
90,8.5
90,8.8
90,9.1
90,7.9
90,7.2
90,8.4
90,8.9
90,7.7
90,8.7
90,8.8
90,8.7
90,8.7
90,8.8
90,8.0
90,8.0
90,6.8
90,7.2
90,7.5
90,9.0
90,8.6
90,7.8
90,7.8
90,7.9
90,8.2
90,8.9
90,8.3
90,9.2
90,6.4
90,8.0
90,8.5
90,6.9
90,8.4
90,6.6
90,8.9
90,8.4
90,7.8
90,9.1
90,8.8
90,8.6
90,8.2
90,7.1
90,5.5
90,7.2
90,8.8
90,8.4
90,7.3
90,8.5
90,8.8
90,9.2
90,8.6
90,8.6
90,8.3
90,9.1
90,6.4
90,8.6
90,8.6
90,7.5
90,8.8
90,8.1
90,8.5
90,8.3
90,7.7
90,8.5
90,8.4
90,7.9
90,8.4
90,8.4
90,7.4
90,7.8
90,8.2
90,8.3
90,8.8
90,8.0
90,7.4
90,8.6
90,9.0
90,9.0
90,5.9
90,7.6
90,8.6
90,8.3
90,8.0
90,8.4
90,8.9
90,7.8
90,8.5
90,8.3
90,8.8
90,7.7
90,7.6
90,8.9
90,8.6
90,6.5
90,7.7
90,8.9
90,8.1
90,8.3
90,8.0
90,8.3
90,8.9
90,8.7
90,8.3
90,tbd
90,6.7
90,7.7
90,7.6
90,8.2
90,6.2
90,8.9
90,7.6
90,7.9
90,8.7
90,8.0
90,8.0
90,6.8
90,8.4
90,7.0
90,8.2
90,8.7
90,6.3
90,7.7
90,7.7
90,7.0
90,8.5
90,6.8
90,8.9
90,7.4
90,8.8
89,9.1
89,8.6
89,8.3
89,7.6
89,8.3
89,7.2
89,9.0
89,8.3
89,8.2
89,8.4
89,8.6
89,8.9
89,8.9
89,6.1
89,8.7
89,8.6
89,8.9
89,8.7
89,6.0
89,8.9
89,8.5
89,8.7
89,8.4
89,8.5
89,8.4
89,8.5
89,8.0
89,8.5
89,8.9
89,8.3
89,8.9
89,8.7
89,7.9
89,6.5
89,6.6
89,7.7
89,7.9
89,7.8
89,9.1
89,8.8
89,7.6
89,8.4
89,8.6
89,8.2
89,8.3
89,7.8
89,8.5
89,7.9
89,9.1
89,8.4
89,8.5
89,7.4
89,8.8
89,8.7
89,7.9
89,8.5
89,7.9
89,7.1
89,8.0
89,5.8
89,8.4
89,8.7
89,8.6
89,7.4
89,8.7
89,8.6
89,8.5
89,8.0
89,8.5
89,8.5
89,8.9
89,7.8
89,6.9
89,7.7
89,7.7
89,8.8
89,7.5
89,6.2
89,8.7
89,7.7
89,8.8
89,8.3
89,8.2
89,7.9
89,7.0
89,8.9
89,9.1
89,7.4
89,7.2
89,7.2
89,7.1
89,7.8
89,8.2
89,8.1
89,8.2
89,8.1
89,8.6
89,8.3
89,8.7
89,7.8
89,8.5
89,8.6
89,8.0
89,8.5
89,7.5
89,8.7
89,7.8
89,8.7
89,7.7
89,8.0
89,8.7
89,7.8
89,7.1
89,7.9
89,6.8
89,8.2
89,5.8
89,8.8
89,7.3
89,8.7
89,7.9
89,7.8
89,7.7
89,9.2
89,9.0
89,7.4
89,8.6
89,9.0
89,7.6
89,8.5
89,8.6
89,8.7
89,8.4
89,8.9
89,8.8
89,6.7
89,7.1
89,8.4
89,8.7
89,7.4
89,8.4
89,9.0
89,8.2
89,6.8
89,7.9
89,8.8
89,7.9
89,7.9
89,8.0
89,8.5
89,9.0
89,7.9
89,8.8
89,7.7
89,8.8
89,8.4
89,7.8
89,7.5
89,7.8
89,5.2
89,8.3
89,8.4
89,7.6
89,8.2
89,6.5
89,8.8
89,8.7
89,8.6
89,8.2
89,8.0
89,8.4
89,7.7
89,8.0
89,6.6
89,8.4
89,8.5
88,7.0
88,8.0
88,8.4
88,7.8
88,6.4
88,8.3
88,8.2
88,7.8
88,8.0
88,8.8
88,9.1
88,8.0
88,8.0
88,8.7
88,8.7
88,8.0
